label,positives,accuracy,f1,roc_auc
United States,3690,0.8723041997729852,0.8580441640378549,0.9347952659214094
India,1046,0.9080590238365494,0.6431718061674009,0.9034743681776589
Japan,318,0.9438138479001135,0.37735849056603776,0.8687334363957597
United Kingdom,806,0.880249716231555,0.26480836236933797,0.7703609157320153
Canada,445,0.9301929625425652,0.18543046357615894,0.7722821816423433
France,393,0.9216799091940976,0.14814814814814814,0.782722985626932
