feature,importance
duration_unit_seasons,0.0002838433770884774
added_year,0.0
duration_value,0.0
genre_count,0.0
country_count,0.0
years_to_platform,0.0
duration_missing_flag,0.0
genre__international_movies,0.0
release_year,0.0
genre__comedies,0.0
genre__international_tv_shows,0.0
genre__documentaries,0.0
genre__action_adventure,0.0
genre__tv_dramas,0.0
genre__independent_movies,0.0
