label,positives,accuracy,f1,roc_auc
International Movies,2752,0.9279228149829739,0.8886941279579317,0.9793139416210448
International TV Shows,1351,0.9562996594778661,0.8697123519458545,0.9904763677887003
Dramas,2427,0.771850170261067,0.6638795986622074,0.8746258885147775
Documentaries,869,0.873439273552781,0.5285412262156448,0.9079265468021657
Comedies,1674,0.7712826333711691,0.5264394829612221,0.8248512169356441
Action & Adventure,859,0.8479001135073779,0.39090909090909093,0.8414618984934914
